,Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),Skills_List,Hire_Flag,Has_Certification,AI_Norm,Exp_Norm,Proj_Norm,Resume_Strength_Score
26,27,Christopher Ayers,"ethical hacking, cybersecurity",3,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,76203,2,60,"['ethical hacking', 'cybersecurity']",0,1,0.5294117647058822,0.30000000000000004,0.2,0.46029411764705874
27,28,Shaun Gomez,"pytorch, nlp",1,M.Tech,None,AI Researcher,Reject,41731,5,45,"['pytorch', 'nlp']",0,0,0.35294117647058826,0.1,0.5,0.2735294117647059
28,29,Claudia Harris,"nlp, pytorch, python",10,B.Tech,Google ML,AI Researcher,Hire,119307,2,100,"['nlp', 'pytorch', 'python']",1,1,1.0,1.0,0.2,0.8
29,30,Steven Thomas,"sql, python",10,B.Tech,AWS Certified,Data Scientist,Hire,59926,4,100,"['sql', 'python']",1,1,1.0,1.0,0.4,0.85
30,31,Abigail Watts,"python, sql",4,PhD,None,Data Scientist,Hire,84679,10,100,"['python', 'sql']",1,0,1.0,0.4,1.0,0.7
31,32,Logan Mcclure,"ethical hacking, networking, linux",1,B.Sc,None,Cybersecurity Analyst,Hire,58606,10,75,"['ethical hacking', 'networking', 'linux']",1,0,0.7058823529411764,0.1,1.0,0.5220588235294117
32,33,Elizabeth Serrano,"deep learning, machine learning, sql, python",8,M.Tech,AWS Certified,Data Scientist,Hire,51283,4,100,"['deep learning', 'machine learning', 'sql', 'python']",1,1,1.0,0.8,0.4,0.8
33,34,Maria Glover,"tensorflow, python, pytorch",9,B.Sc,Deep Learning Specialization,AI Researcher,Hire,99521,4,100,"['tensorflow', 'python', 'pytorch']",1,1,1.0,0.9,0.4,0.825
34,35,Sandra Juarez,"networking, linux, ethical hacking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,47001,10,75,"['networking', 'linux', 'ethical hacking']",1,1,0.7058823529411764,0.0,1.0,0.6470588235294117
35,36,Bradley Cruz,"nlp, pytorch",7,PhD,AWS Certified,AI Researcher,Hire,92104,6,100,"['nlp', 'pytorch']",1,1,1.0,0.7000000000000001,0.6000000000000001,0.8250000000000001
36,37,Darrell Wilkinson,"python, nlp",7,M.Tech,Google ML,AI Researcher,Hire,80936,3,100,"['python', 'nlp']",1,1,1.0,0.7000000000000001,0.30000000000000004,0.7500000000000001
37,38,Jason Flores,"c++, sql, java",5,B.Tech,Google ML,Software Engineer,Hire,97505,7,100,"['c++', 'sql', 'java']",1,1,1.0,0.5,0.7000000000000001,0.8
38,39,Denise Harper,"linux, cybersecurity",7,PhD,None,Cybersecurity Analyst,Hire,106469,0,80,"['linux', 'cybersecurity']",1,0,0.7647058823529411,0.7000000000000001,0.0,0.4426470588235294
39,40,Kim Blake,"sql, python",1,MBA,AWS Certified,Data Scientist,Hire,52364,8,70,"['sql', 'python']",1,1,0.6470588235294117,0.1,0.8,0.6014705882352941
40,41,Lindsey Jackson,"c++, react",10,MBA,AWS Certified,Software Engineer,Hire,101108,9,100,"['c++', 'react']",1,1,1.0,1.0,0.9,0.975
41,42,Frances Salazar,"networking, linux",1,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,51200,10,80,"['networking', 'linux']",1,1,0.7647058823529411,0.1,1.0,0.6926470588235294
42,43,Justin Ross,"nlp, tensorflow, python",3,M.Tech,None,AI Researcher,Hire,66403,10,95,"['nlp', 'tensorflow', 'python']",1,0,0.9411764705882353,0.30000000000000004,1.0,0.6544117647058824
43,44,Denise Ramirez,"machine learning, python",1,MBA,Deep Learning Specialization,Data Scientist,Hire,50397,8,70,"['machine learning', 'python']",1,1,0.6470588235294117,0.1,0.8,0.6014705882352941
44,45,Tanya West,"sql, python, machine learning",4,M.Tech,AWS Certified,Data Scientist,Hire,95486,6,95,"['sql', 'python', 'machine learning']",1,1,0.9411764705882353,0.4,0.6000000000000001,0.7294117647058824
45,46,Ryan Peters,"sql, java",5,B.Sc,AWS Certified,Software Engineer,Hire,72756,4,90,"['sql', 'java']",1,1,0.8823529411764706,0.5,0.4,0.6838235294117647
46,47,Terry Burns,"sql, java, c++, react",4,MBA,AWS Certified,Software Engineer,Hire,50602,9,100,"['sql', 'java', 'c++', 'react']",1,1,1.0,0.4,0.9,0.825
47,48,Christopher Stevenson,"python, machine learning",8,PhD,Google ML,Data Scientist,Hire,103477,9,100,"['python', 'machine learning']",1,1,1.0,0.8,0.9,0.925
48,49,David Nash,"react, sql, java",1,MBA,Deep Learning Specialization,Software Engineer,Hire,46437,9,80,"['react', 'sql', 'java']",1,1,0.7647058823529411,0.1,0.9,0.6676470588235294
49,50,Christopher Nicholson,"pytorch, python",5,B.Tech,Deep Learning Specialization,AI Researcher,Hire,89338,1,75,"['pytorch', 'python']",1,1,0.7058823529411764,0.5,0.1,0.5470588235294117
50,51,Kenneth Skinner,"python, nlp, tensorflow, pytorch",5,PhD,None,AI Researcher,Hire,45488,9,100,"['python', 'nlp', 'tensorflow', 'pytorch']",1,0,1.0,0.5,0.9,0.7
51,52,Dalton Smith,"ethical hacking, cybersecurity, linux",9,M.Tech,None,Cybersecurity Analyst,Hire,55058,3,100,"['ethical hacking', 'cybersecurity', 'linux']",1,0,1.0,0.9,0.30000000000000004,0.6499999999999999
52,53,James Bailey,"sql, deep learning, machine learning",1,MBA,None,Data Scientist,Reject,54006,4,45,"['sql', 'deep learning', 'machine learning']",0,0,0.35294117647058826,0.1,0.4,0.2485294117647059
53,54,William Hill,"python, sql, machine learning",9,B.Sc,Google ML,Data Scientist,Hire,82004,2,100,"['python', 'sql', 'machine learning']",1,1,1.0,0.9,0.2,0.775
54,55,James Jones,"python, sql, machine learning",0,B.Tech,AWS Certified,Data Scientist,Reject,112663,7,60,"['python', 'sql', 'machine learning']",0,1,0.5294117647058822,0.0,0.7000000000000001,0.5102941176470588
55,56,Danielle Drake,"cybersecurity, networking, ethical hacking",1,B.Sc,Google ML,Cybersecurity Analyst,Reject,56827,4,55,"['cybersecurity', 'networking', 'ethical hacking']",0,1,0.4705882352941177,0.1,0.4,0.43970588235294117
56,57,Rachel Wheeler,"c++, java, sql, react",3,B.Sc,Google ML,Software Engineer,Hire,49367,3,75,"['c++', 'java', 'sql', 'react']",1,1,0.7058823529411764,0.30000000000000004,0.30000000000000004,0.5470588235294117
57,58,April Flores,"networking, cybersecurity, ethical hacking, linux",1,B.Sc,AWS Certified,Cybersecurity Analyst,Reject,86274,3,55,"['networking', 'cybersecurity', 'ethical hacking', 'linux']",0,1,0.4705882352941177,0.1,0.30000000000000004,0.41470588235294115
58,59,Ruth Oconnell,"tensorflow, pytorch",2,B.Sc,None,AI Researcher,Reject,62312,1,35,"['tensorflow', 'pytorch']",0,0,0.23529411764705882,0.2,0.1,0.15735294117647058
59,60,Sarah Kane,"java, react",6,PhD,Google ML,Software Engineer,Hire,80278,4,100,"['java', 'react']",1,1,1.0,0.6000000000000001,0.4,0.75
60,61,Rebecca Wagner,"python, pytorch",0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,71804,10,70,"['python', 'pytorch']",1,1,0.6470588235294117,0.0,1.0,0.6264705882352941
61,62,Laura Howell,"sql, deep learning, machine learning, python",8,B.Sc,None,Data Scientist,Hire,72780,9,100,"['sql', 'deep learning', 'machine learning', 'python']",1,0,1.0,0.8,0.9,0.775
62,63,Kevin Miller,"machine learning, deep learning, python",9,M.Tech,Google ML,Data Scientist,Hire,84443,3,100,"['machine learning', 'deep learning', 'python']",1,1,1.0,0.9,0.30000000000000004,0.7999999999999999
63,64,Joanna Foster,"c++, react, java, sql",9,M.Tech,None,Software Engineer,Hire,99057,8,100,"['c++', 'react', 'java', 'sql']",1,0,1.0,0.9,0.8,0.7749999999999999
64,65,Steven Bell II,"deep learning, python, machine learning, sql",10,MBA,Deep Learning Specialization,Data Scientist,Hire,63516,2,100,"['deep learning', 'python', 'machine learning', 'sql']",1,1,1.0,1.0,0.2,0.8
65,66,Cynthia Simmons,"java, react, c++",1,PhD,None,Software Engineer,Reject,62647,3,40,"['java', 'react', 'c++']",0,0,0.29411764705882354,0.1,0.30000000000000004,0.20294117647058824
66,67,Brittney Mccormick,"java, c++, react, sql",8,B.Sc,None,Software Engineer,Hire,89042,1,100,"['java', 'c++', 'react', 'sql']",1,0,1.0,0.8,0.1,0.5750000000000001
67,68,David Mitchell,"pytorch, python, tensorflow, nlp",9,M.Tech,Google ML,AI Researcher,Hire,47919,4,100,"['pytorch', 'python', 'tensorflow', 'nlp']",1,1,1.0,0.9,0.4,0.825
68,69,Christopher Reed,"linux, networking, ethical hacking, cybersecurity",9,M.Tech,Google ML,Cybersecurity Analyst,Hire,81596,3,100,"['linux', 'networking', 'ethical hacking', 'cybersecurity']",1,1,1.0,0.9,0.30000000000000004,0.7999999999999999
69,70,Jonathan Fowler,"sql, python, machine learning, deep learning",1,B.Tech,AWS Certified,Data Scientist,Reject,43647,1,45,"['sql', 'python', 'machine learning', 'deep learning']",0,1,0.35294117647058826,0.1,0.1,0.32352941176470584
70,71,Taylor Wright,"pytorch, tensorflow, nlp",8,PhD,Deep Learning Specialization,AI Researcher,Hire,50670,0,100,"['pytorch', 'tensorflow', 'nlp']",1,1,1.0,0.8,0.0,0.7000000000000001
71,72,Curtis Townsend,"ethical hacking, networking, linux",0,MBA,Google ML,Cybersecurity Analyst,Reject,60440,7,60,"['ethical hacking', 'networking', 'linux']",0,1,0.5294117647058822,0.0,0.7000000000000001,0.5102941176470588
72,73,Scott Kidd,"python, sql, machine learning, deep learning",0,M.Tech,Deep Learning Specialization,Data Scientist,Reject,69800,6,60,"['python', 'sql', 'machine learning', 'deep learning']",0,1,0.5294117647058822,0.0,0.6000000000000001,0.48529411764705876
73,74,Donald Duffy,"java, sql",5,MBA,AWS Certified,Software Engineer,Hire,40914,6,100,"['java', 'sql']",1,1,1.0,0.5,0.6000000000000001,0.775
74,75,Michael Chapman,"tensorflow, nlp",9,B.Sc,Deep Learning Specialization,AI Researcher,Hire,111697,4,100,"['tensorflow', 'nlp']",1,1,1.0,0.9,0.4,0.825
75,76,Carolyn James,"java, react, sql, c++",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,88155,8,100,"['java', 'react', 'sql', 'c++']",1,1,1.0,0.4,0.8,0.7999999999999999
76,77,Timothy Kirby,"python, machine learning",0,M.Tech,Deep Learning Specialization,Data Scientist,Reject,61332,0,20,"['python', 'machine learning']",0,1,0.05882352941176472,0.0,0.0,0.17058823529411765
77,78,Michael Vasquez,"cybersecurity, ethical hacking, linux, networking",7,PhD,None,Cybersecurity Analyst,Hire,62406,1,95,"['cybersecurity', 'ethical hacking', 'linux', 'networking']",1,0,0.9411764705882353,0.7000000000000001,0.1,0.5294117647058824
78,79,Brooke Charles,"tensorflow, python",1,MBA,None,AI Researcher,Reject,75420,6,50,"['tensorflow', 'python']",0,0,0.411764705882353,0.1,0.6000000000000001,0.31911764705882356
79,80,Wesley Rodriguez,"deep learning, python, machine learning, sql",6,B.Sc,Deep Learning Specialization,Data Scientist,Hire,82300,4,100,"['deep learning', 'python', 'machine learning', 'sql']",1,1,1.0,0.6000000000000001,0.4,0.75
80,81,Jamie Rose,"nlp, tensorflow, pytorch",7,MBA,None,AI Researcher,Hire,88358,4,100,"['nlp', 'tensorflow', 'pytorch']",1,0,1.0,0.7000000000000001,0.4,0.625
81,82,Melissa Clark,"react, c++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,107085,10,80,"['react', 'c++']",1,1,0.7647058823529411,0.1,1.0,0.6926470588235294
82,83,Ryan Moore,"c++, java",9,M.Tech,Deep Learning Specialization,Software Engineer,Hire,51284,4,100,"['c++', 'java']",1,1,1.0,0.9,0.4,0.825
83,84,Shawn Richardson,"python, nlp, tensorflow",10,B.Tech,None,AI Researcher,Hire,62710,2,100,"['python', 'nlp', 'tensorflow']",1,0,1.0,1.0,0.2,0.65
84,85,Lisa Navarro,"java, sql, c++",0,B.Sc,AWS Certified,Software Engineer,Reject,52290,2,35,"['java', 'sql', 'c++']",0,1,0.23529411764705882,0.0,0.2,0.2823529411764706
85,86,Renee Patterson MD,"java, react, c++",8,M.Tech,None,Software Engineer,Hire,87272,2,100,"['java', 'react', 'c++']",1,0,1.0,0.8,0.2,0.6000000000000001
86,87,Heather Bauer,"sql, deep learning, python, machine learning",6,M.Tech,Deep Learning Specialization,Data Scientist,Hire,72143,10,100,"['sql', 'deep learning', 'python', 'machine learning']",1,1,1.0,0.6000000000000001,1.0,0.9
87,88,Derek Smith,"python, pytorch",7,B.Sc,None,AI Researcher,Hire,98548,7,100,"['python', 'pytorch']",1,0,1.0,0.7000000000000001,0.7000000000000001,0.7000000000000001
88,89,Jose Mclaughlin,"react, sql, java",5,PhD,Google ML,Software Engineer,Hire,102333,10,100,"['react', 'sql', 'java']",1,1,1.0,0.5,1.0,0.875
89,90,Christina Johnson,"linux, ethical hacking, cybersecurity, networking",10,M.Tech,None,Cybersecurity Analyst,Hire,60343,8,100,"['linux', 'ethical hacking', 'cybersecurity', 'networking']",1,0,1.0,1.0,0.8,0.8
90,91,David Santos,"nlp, tensorflow",4,MBA,Google ML,AI Researcher,Hire,49331,7,95,"['nlp', 'tensorflow']",1,1,0.9411764705882353,0.4,0.7000000000000001,0.7544117647058824
91,92,Melissa Salinas,"pytorch, tensorflow, python",4,MBA,Google ML,AI Researcher,Hire,67536,6,95,"['pytorch', 'tensorflow', 'python']",1,1,0.9411764705882353,0.4,0.6000000000000001,0.7294117647058824
92,93,Cody Pace,"tensorflow, nlp, pytorch",5,B.Sc,AWS Certified,AI Researcher,Hire,88653,0,75,"['tensorflow', 'nlp', 'pytorch']",1,1,0.7058823529411764,0.5,0.0,0.5220588235294117
93,94,Juan Jimenez,"nlp, pytorch",0,B.Sc,Deep Learning Specialization,AI Researcher,Hire,87556,10,70,"['nlp', 'pytorch']",1,1,0.6470588235294117,0.0,1.0,0.6264705882352941
94,95,Madison Dunn,"java, sql, c++",9,B.Tech,Google ML,Software Engineer,Hire,113365,8,100,"['java', 'sql', 'c++']",1,1,1.0,0.9,0.8,0.9249999999999999
95,96,Stephen Watkins,"tensorflow, pytorch, python, nlp",1,B.Sc,AWS Certified,AI Researcher,Reject,97235,4,60,"['tensorflow', 'pytorch', 'python', 'nlp']",0,1,0.5294117647058822,0.1,0.4,0.46029411764705874
96,97,Dawn Tucker,"tensorflow, nlp, pytorch, python",4,PhD,Deep Learning Specialization,AI Researcher,Hire,89633,2,80,"['tensorflow', 'nlp', 'pytorch', 'python']",1,1,0.7647058823529411,0.4,0.2,0.5676470588235293
97,98,Michelle Benton,"tensorflow, pytorch, nlp, python",6,B.Tech,AWS Certified,AI Researcher,Hire,109750,9,100,"['tensorflow', 'pytorch', 'nlp', 'python']",1,1,1.0,0.6000000000000001,0.9,0.875
98,99,Shannon Patel,"python, deep learning",6,PhD,Google ML,Data Scientist,Hire,63260,8,100,"['python', 'deep learning']",1,1,1.0,0.6000000000000001,0.8,0.85
99,100,Sandra Perkins,"sql, java, react",6,B.Sc,Google ML,Software Engineer,Hire,67745,3,100,"['sql', 'java', 'react']",1,1,1.0,0.6000000000000001,0.30000000000000004,0.725
100,101,Sheryl Freeman,"linux, cybersecurity",1,M.Tech,Google ML,Cybersecurity Analyst,Reject,85755,3,45,"['linux', 'cybersecurity']",0,1,0.35294117647058826,0.1,0.30000000000000004,0.3735294117647059
101,102,Elaine Ryan,"ethical hacking, cybersecurity",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,58775,3,100,"['ethical hacking', 'cybersecurity']",1,1,1.0,0.8,0.30000000000000004,0.775
102,103,Jonathan Hernandez,"ethical hacking, networking",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,49346,3,55,"['ethical hacking', 'networking']",0,1,0.4705882352941177,0.2,0.30000000000000004,0.43970588235294117
103,104,Emily Williamson,"ethical hacking, networking, linux",8,PhD,None,Cybersecurity Analyst,Hire,97521,7,100,"['ethical hacking', 'networking', 'linux']",1,0,1.0,0.8,0.7000000000000001,0.7250000000000001
104,105,Miguel Dunn,"java, sql",5,B.Tech,Google ML,Software Engineer,Hire,81801,1,75,"['java', 'sql']",1,1,0.7058823529411764,0.5,0.1,0.5470588235294117
105,106,Natasha Orr,"deep learning, machine learning, sql",7,B.Tech,AWS Certified,Data Scientist,Hire,118152,6,100,"['deep learning', 'machine learning', 'sql']",1,1,1.0,0.7000000000000001,0.6000000000000001,0.8250000000000001
106,107,David Richardson,"nlp, python, tensorflow",9,B.Tech,AWS Certified,AI Researcher,Hire,105695,0,100,"['nlp', 'python', 'tensorflow']",1,1,1.0,0.9,0.0,0.725
107,108,Michael Lewis,"python, deep learning, machine learning",2,B.Tech,Deep Learning Specialization,Data Scientist,Reject,98024,2,55,"['python', 'deep learning', 'machine learning']",0,1,0.4705882352941177,0.2,0.2,0.41470588235294115
108,109,Michael Jones,"python, machine learning, sql",4,B.Tech,None,Data Scientist,Hire,85884,6,85,"['python', 'machine learning', 'sql']",1,0,0.8235294117647058,0.4,0.6000000000000001,0.538235294117647
109,110,Nicole Hunt,"ethical hacking, linux, networking, cybersecurity",7,MBA,None,Cybersecurity Analyst,Hire,107237,3,100,"['ethical hacking', 'linux', 'networking', 'cybersecurity']",1,0,1.0,0.7000000000000001,0.30000000000000004,0.6000000000000001
110,111,Austin Hunter,"java, react",9,B.Tech,Google ML,Software Engineer,Hire,117897,0,100,"['java', 'react']",1,1,1.0,0.9,0.0,0.725
111,112,Richard Jones MD,"machine learning, sql, deep learning",5,B.Tech,Deep Learning Specialization,Data Scientist,Hire,59033,4,95,"['machine learning', 'sql', 'deep learning']",1,1,0.9411764705882353,0.5,0.4,0.7044117647058824
112,113,Sydney Nelson,"sql, python, machine learning, deep learning",3,MBA,Deep Learning Specialization,Data Scientist,Hire,102054,1,65,"['sql', 'python', 'machine learning', 'deep learning']",1,1,0.588235294117647,0.30000000000000004,0.1,0.4558823529411765
113,114,Paula Mills,"pytorch, tensorflow",0,B.Sc,Deep Learning Specialization,AI Researcher,Reject,98413,3,35,"['pytorch', 'tensorflow']",0,1,0.23529411764705882,0.0,0.30000000000000004,0.3073529411764706
114,115,Meagan King,"c++, java",2,MBA,Deep Learning Specialization,Software Engineer,Reject,85561,2,50,"['c++', 'java']",0,1,0.411764705882353,0.2,0.2,0.3941176470588236
115,116,Tina Smith,"nlp, tensorflow, pytorch",9,PhD,None,AI Researcher,Hire,88498,9,100,"['nlp', 'tensorflow', 'pytorch']",1,0,1.0,0.9,0.9,0.7999999999999999
116,117,Mr. David Boyle,"networking, cybersecurity, linux, ethical hacking",10,B.Tech,None,Cybersecurity Analyst,Hire,101100,10,100,"['networking', 'cybersecurity', 'linux', 'ethical hacking']",1,0,1.0,1.0,1.0,0.85
117,118,Mariah Randolph,"react, c++, java",5,PhD,AWS Certified,Software Engineer,Hire,72099,10,100,"['react', 'c++', 'java']",1,1,1.0,0.5,1.0,0.875
118,119,Sandra Freeman,"react, java, sql",4,MBA,Google ML,Software Engineer,Hire,99599,9,100,"['react', 'java', 'sql']",1,1,1.0,0.4,0.9,0.825
119,120,Joseph Carroll,"react, c++, java, sql",5,MBA,Deep Learning Specialization,Software Engineer,Hire,68881,8,100,"['react', 'c++', 'java', 'sql']",1,1,1.0,0.5,0.8,0.8250000000000001
120,121,Cynthia Espinoza,"java, react",6,B.Sc,Google ML,Software Engineer,Hire,62463,0,80,"['java', 'react']",1,1,0.7647058823529411,0.6000000000000001,0.0,0.5676470588235294
121,122,Robert Carey,"python, tensorflow, pytorch, nlp",4,B.Sc,AWS Certified,AI Researcher,Hire,47581,2,80,"['python', 'tensorflow', 'pytorch', 'nlp']",1,1,0.7647058823529411,0.4,0.2,0.5676470588235293
122,123,Stephen Mcdonald,"linux, networking, cybersecurity, ethical hacking",7,PhD,None,Cybersecurity Analyst,Hire,91604,3,100,"['linux', 'networking', 'cybersecurity', 'ethical hacking']",1,0,1.0,0.7000000000000001,0.30000000000000004,0.6000000000000001
123,124,Haley Gonzalez,"sql, java",1,PhD,AWS Certified,Software Engineer,Hire,74663,9,75,"['sql', 'java']",1,1,0.7058823529411764,0.1,0.9,0.6470588235294118
124,125,Jaime Wilson,"java, c++, react",6,MBA,AWS Certified,Software Engineer,Hire,64025,10,100,"['java', 'c++', 'react']",1,1,1.0,0.6000000000000001,1.0,0.9
125,126,Taylor Cunningham,"sql, python",9,B.Sc,Deep Learning Specialization,Data Scientist,Hire,66133,2,100,"['sql', 'python']",1,1,1.0,0.9,0.2,0.775
126,127,Sophia Bradley,"machine learning, python, deep learning, sql",5,M.Tech,Deep Learning Specialization,Data Scientist,Hire,95222,5,100,"['machine learning', 'python', 'deep learning', 'sql']",1,1,1.0,0.5,0.5,0.75
127,128,Gary Hanson,"pytorch, python",3,MBA,Deep Learning Specialization,AI Researcher,Reject,48726,0,50,"['pytorch', 'python']",0,1,0.411764705882353,0.30000000000000004,0.0,0.36911764705882355
128,129,Michael Ingram,"linux, networking, ethical hacking, cybersecurity",8,B.Sc,AWS Certified,Cybersecurity Analyst,Hire,111242,5,100,"['linux', 'networking', 'ethical hacking', 'cybersecurity']",1,1,1.0,0.8,0.5,0.8250000000000001
129,130,Shannon Alvarez,"python, nlp, pytorch",3,B.Sc,Deep Learning Specialization,AI Researcher,Reject,91770,0,55,"['python', 'nlp', 'pytorch']",0,1,0.4705882352941177,0.30000000000000004,0.0,0.3897058823529412
130,131,Jonathan Howard,"nlp, python, pytorch, tensorflow",1,B.Sc,AWS Certified,AI Researcher,Reject,113470,4,60,"['nlp', 'python', 'pytorch', 'tensorflow']",0,1,0.5294117647058822,0.1,0.4,0.46029411764705874
131,132,Rebecca Reynolds,"java, c++, sql",0,B.Sc,None,Software Engineer,Reject,103202,3,30,"['java', 'c++', 'sql']",0,0,0.1764705882352941,0.0,0.30000000000000004,0.13676470588235295
